iter	Passed	Remaining
0	178	178598
1	306	152711
2	499	165885
3	642	159987
4	791	157571
5	946	156886
6	1106	156941
7	1267	157216
8	1415	155857
9	1569	155383
10	1723	155000
11	1885	155265
12	2048	155548
13	2201	155016
14	2350	154372
15	2505	154075
16	2664	154097
17	2817	153698
18	2977	153739
19	3221	157854
20	3385	157818
21	3533	157082
22	3677	156201
23	3827	155663
24	3974	155010
25	4122	154442
26	4280	154268
27	4445	154318
28	4599	153988
29	4750	153588
30	4914	153625
31	5070	153386
32	5211	152706
33	5366	152479
34	5547	152958
35	5694	152489
36	5851	152289
37	6036	152821
38	6186	152451
39	6363	152721
40	6546	153115
41	6698	152800
42	6840	152243
43	6989	151857
44	7148	151714
45	7304	151480
46	7454	151152
47	7598	150696
48	7750	150421
49	7894	150001
50	8037	149556
51	8194	149391
52	8375	149655
53	8546	149725
54	8754	150416
55	8920	150372
56	9046	149669
57	9190	149263
58	9326	148751
59	9461	148230
60	9662	148746
61	9837	148834
62	9968	148256
63	10106	147804
64	10277	147837
65	10406	147261
66	10552	146948
67	10722	146966
68	10878	146782
69	11018	146384
70	11374	148827
71	11635	149969
72	11818	150074
73	12091	151310
74	12621	155668
75	13285	161527
76	13498	161802
77	13661	161485
78	13831	161253
79	14003	161043
80	14175	160831
81	14351	160661
82	14497	160170
83	14638	159630
84	14765	158948
85	14945	158834
86	15105	158525
87	15243	157981
88	15367	157305
89	15506	156791
90	15635	156184
91	15804	155980
92	15965	155710
93	16101	155187
94	16251	154815
95	16471	155102
96	16673	155214
97	16836	154964
98	16991	154637
99	17142	154279
100	17328	154241
101	17466	153777
102	17623	153477
103	17778	153166
104	17920	152750
105	18068	152391
106	18221	152075
107	18374	151763
108	18529	151463
109	18702	151319
110	18852	150993
111	18994	150601
112	19523	153249
113	19720	153265
114	19956	153576
115	20123	153358
116	20255	152865
117	20407	152539
118	20550	152146
119	20691	151734
120	20836	151366
121	21008	151191
122	21096	150421
123	21182	149646
124	21330	149314
125	21455	148827
126	21596	148457
127	21793	148469
128	21958	148259
129	22108	147956
130	22286	147842
131	22458	147679
132	22614	147421
133	22760	147092
134	22934	146953
135	23153	147092
136	23274	146613
137	23413	146251
138	23554	145899
139	23700	145588
140	23850	145304
141	23994	144981
142	24138	144659
143	24291	144399
144	24524	144607
145	24695	144450
146	24863	144276
147	25005	143948
148	25150	143642
149	25301	143374
150	25438	143026
151	25570	142657
152	25731	142447
153	25872	142130
154	25998	141735
155	26195	141722
156	26391	141704
157	26553	141505
158	26699	141219
159	26836	140890
160	26975	140576
161	27217	140789
162	27372	140555
163	27517	140271
164	27658	139970
165	27783	139588
166	27934	139336
167	28060	138965
168	28186	138598
169	28352	138427
170	28519	138260
171	28678	138057
172	28812	137731
173	28948	137424
174	29083	137110
175	29207	136746
176	29386	136638
177	29613	136752
178	29742	136417
179	29881	136125
180	30019	135832
181	30152	135522
